                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.5095,                  1.375,                      0,                0.69745,                0.99815,                0.98358,                0.97382,                0.98563,                0.58126,                0.92539,                0.91099,                 0.8917,                0.76544,                  1.445,                 1.0022,                      0,                0.62977,                 1.0014,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.4931,                  1.538,                      0,                0.69079,                0.98961,                0.98703,                0.96335,                 0.9841,                0.56667,                0.70541,                0.70157,                0.58653,                0.25436,                 1.5016,                 3.0408,                      0,                0.61985,                 1.0038,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.4821,                 1.4489,                      0,                 0.6804,                 1.0021,                0.99931,                0.98429,                0.99094,                 0.5804,                0.91588,                0.90052,                0.85993,                0.67466,                 1.4714,                 1.1349,                      0,                0.62279,                 1.0009,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.4854,                 1.4288,                      0,                0.68824,                0.99394,                0.99449,                0.98953,                0.98774,                0.60781,                0.91543,                0.91099,                0.87578,                0.63371,                 1.3905,                 1.2546,                      0,                 0.5959,                0.98259,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.4876,                 1.3958,                      0,                0.68314,                 1.0028,                0.98302,                0.97906,                0.99132,                0.58057,                0.78399,                 0.7801,                0.67601,                0.29689,                  1.448,                 2.6794,                      0,                0.60701,                0.99764,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.5192,                 1.3724,                      0,                0.71237,                0.98748,                0.98638,                0.97906,                0.99044,                 0.6012,                0.89509,                0.89005,                0.88285,                0.70389,                 1.4021,                 1.2336,                      0,                0.60633,                0.98723,               0.001307,               0.001307,               0.001307
                     73,                 1.4899,                 1.4037,                      0,                0.70338,                 1.0023,                0.98421,                0.97929,                0.99108,                0.59755,                0.88668,                0.89529,                0.84751,                0.55014,                 1.4073,                   1.53,                      0,                 0.6027,                0.98831,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.4855,                 1.3863,                      0,                0.68671,                0.99916,                0.98425,                0.98134,                 0.9884,                0.60306,                 0.8766,                0.87958,                0.88571,                0.72935,                 1.4025,                 1.2943,                      0,                0.60935,                0.98537,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.4954,                 1.4476,                      0,                0.69142,                 0.9969,                0.98509,                0.98429,                0.98848,                0.59342,                0.93651,                0.93194,                0.89449,                0.62646,                 1.4697,                 1.2431,                      0,                0.64286,                 1.0018,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.4702,                 1.3566,                      0,                0.69563,                 1.0006,                0.98946,                0.98332,                0.98753,                0.59881,                0.92756,                0.91099,                0.89535,                0.63783,                 1.4048,                 1.2466,                      0,                0.59271,                0.98766,              0.0012674,              0.0012674,              0.0012674
                     77,                  1.479,                  1.407,                      0,                0.67513,                 1.0047,                0.99344,                0.97906,                0.98885,                0.59056,                 0.9407,                0.91356,                0.89739,                0.76657,                 1.4558,                0.83061,                      0,                 0.6126,                 0.9999,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.4805,                  1.423,                      0,                0.67532,                0.99702,                0.97891,                 0.9722,                0.98584,                0.58896,                0.70118,                0.71204,                 0.5916,                 0.2551,                 1.4552,                  2.914,                      0,                0.60897,                0.99599,              0.0012476,              0.0012476,              0.0012476
